#Spectrum of SDSS J141324.27+530526.9
#downloaded from http://skyserver.sdss.org/dr16/en/tools/quicklook/summary.aspx?ra=14%2013%2024&dec=53%2005%2027
#z = 0.4563313
#Wavelength,Flux,BestFit,SkyFlux
3860.113,25.123,25.638,9.346
3861.001,26.488,25.485,9.228
3861.892,24.706,25.677,10.640
3862.780,25.022,25.734,12.865
3863.669,23.985,25.622,14.244
3864.560,23.222,25.719,14.293
3865.449,25.776,25.779,13.914
3866.340,24.739,25.784,13.081
3867.230,28.593,25.868,13.059
3868.121,26.933,25.899,12.859
3869.011,26.501,25.863,12.702
3869.901,27.294,25.654,12.022
3870.794,24.345,25.629,10.919
3871.684,25.614,25.642,9.737
3872.577,25.178,25.532,9.024
3873.468,25.669,25.739,9.862
3874.361,25.044,25.854,11.954
3875.252,24.951,25.738,13.773
3876.144,27.056,25.745,14.278
3877.038,24.802,25.814,13.646
3877.930,26.141,25.752,12.164
3878.824,24.739,25.770,10.818
3879.716,25.600,25.795,10.810
3880.611,27.785,25.638,11.479
3881.504,26.024,25.488,11.612
3882.396,25.465,25.525,10.617
3883.292,23.852,25.657,10.339
3884.185,23.719,25.607,11.130
3885.081,25.390,25.650,12.043
3885.975,27.654,25.613,11.766
3886.871,28.835,25.571,10.468
3887.765,27.756,25.560,9.700
3888.659,26.501,25.567,9.986
3889.556,27.358,25.613,10.242
3890.451,26.647,25.596,10.809
3891.348,25.567,25.737,11.877
3892.243,27.789,25.849,12.941
3893.141,28.876,25.765,13.381
3894.036,27.384,25.601,13.679
3894.934,25.933,25.592,13.625
3895.830,25.319,25.312,13.494
3896.726,26.038,25.507,14.009
3897.625,27.386,25.639,14.327
3898.522,26.291,25.583,14.646
3899.421,26.913,25.592,14.511
3900.318,24.909,25.551,13.869
3901.217,24.360,25.623,14.252
3902.115,26.615,25.631,14.884
3903.012,27.480,25.471,14.439
3903.912,25.051,25.416,13.869
3904.810,24.905,25.606,13.894
3905.711,25.753,25.613,13.929
3906.609,25.846,25.595,14.330
3907.510,25.587,25.673,15.505
3908.409,26.002,25.623,17.218
3909.308,25.702,25.548,18.211
3910.210,23.754,25.581,17.575
3911.109,27.298,25.505,17.514
3912.011,27.938,25.684,18.033
3912.911,25.707,25.643,18.600
3913.813,27.471,25.461,18.640
3914.714,26.419,25.398,17.943
3915.614,25.117,25.448,17.076
3916.517,26.239,25.359,16.026
3917.418,24.987,25.589,15.588
3918.322,23.611,25.750,15.368
3919.223,26.054,25.653,14.831
3920.127,23.453,25.656,13.798
3921.029,26.828,25.855,12.551
3921.931,26.001,25.644,11.885
3922.835,24.702,25.778,12.123
3923.737,24.776,25.774,12.660
3924.642,23.556,25.533,12.968
3925.545,25.265,25.476,12.707
3926.450,27.476,25.697,11.989
3927.354,26.568,25.575,10.935
3928.257,25.320,25.738,9.761
3929.163,25.403,25.795,8.594
3930.067,25.365,25.643,7.636
3930.973,24.704,25.487,7.061
3931.877,24.851,25.576,6.623
3932.784,23.608,25.851,6.131
3933.689,24.332,25.773,5.834
3934.594,25.427,25.923,5.707
3935.501,23.692,25.838,5.649
3936.406,25.536,25.637,5.785
3937.314,23.541,25.746,6.646
3938.220,24.162,25.864,7.913
3939.128,25.726,25.674,9.204
3940.034,25.882,25.593,10.460
3940.941,25.587,25.768,11.606
3941.849,25.598,25.993,12.271
3942.756,25.215,26.003,12.488
3943.665,24.638,25.871,12.339
3944.573,24.012,26.050,11.696
3945.482,24.993,25.936,12.051
3946.390,26.878,25.824,13.150
3947.298,23.504,25.812,14.065
3948.208,26.756,25.804,14.005
3949.116,26.812,25.942,13.867
3950.027,25.295,25.939,14.124
3950.936,25.248,25.741,14.648
3951.847,25.572,25.814,15.109
3952.756,25.903,25.989,14.561
3953.665,25.791,25.989,14.111
3954.577,25.467,26.195,13.947
3955.487,25.129,26.321,14.519
3956.399,25.555,26.227,14.337
3957.309,26.526,26.100,13.589
3958.221,25.216,26.084,13.333
3959.132,25.141,26.119,13.751
3960.045,25.313,26.071,14.160
3960.956,26.644,26.268,13.394
3961.867,27.950,26.458,11.643
3962.781,26.817,26.411,10.225
3963.692,25.698,26.316,9.502
3964.606,27.312,26.358,9.187
3965.518,25.992,26.294,8.587
3966.433,25.121,26.271,7.531
3967.345,25.366,26.208,6.535
3968.258,24.291,26.310,5.455
3969.173,26.154,26.353,4.950
3970.086,24.516,26.183,5.036
3971.002,25.177,26.261,5.833
3971.915,25.174,26.191,6.986
3972.831,24.788,26.142,8.109
3973.745,27.088,26.231,9.070
3974.659,25.890,26.340,10.201
